target,lambda,w_log,w_2,n_members,Tc_AD,Tc_ME_min,Tc_ME_max,Tc_ME_median,sigma_log_Tc,spread_ratio,max_moment_err
C2CoY,0.2681852987325603,34.61133935603159,48.3904597798829,5,0.056126739926247116,0.11872120964868285,0.12727176768432208,0.1226676210497471,0.02448429465937081,1.0720221606648201,3.289812866569264e-12
Te2Ti,0.3141129956061704,16.100394123859832,18.55972322762312,6,0.14040951790764922,0.28219022251361536,0.29096581738284344,0.2846583585705857,0.010164703076139963,1.031098153547133,1.0184102672283757e-08
GaOsSc2,0.3388980238884865,14.2133118162818,19.561051239320754,5,0.23350296679587004,0.3975707252037104,0.44135253147793607,0.4153570840026145,0.036295962377277495,1.1101233151706338,3.2647218262127353e-12
Al3Li,0.3665011473567041,26.415156247753195,29.029297227439883,6,0.7604317464403494,1.4417756208143928,1.4796486863109337,1.4484591029608413,0.008712793008980486,1.0262683492145248,9.709351100894992e-10
Mn2Sb2,0.3971359568813773,18.18053181244237,21.91914651810848,6,0.863362195907954,1.4598746506002174,1.7001658867660052,1.4826390835001342,0.05256113087823086,1.1645971700837423,7.770206700286053e-09
CuTcTi2,0.4298477970697424,21.59630719868396,23.999097523584705,6,1.5739804299395632,2.5323562093021783,2.587691458792241,2.541578750883856,0.007257879494829161,1.0218512898330805,7.469800111792324e-09
CoI2,0.4823403600196111,12.657951912667112,15.486935567523425,5,1.575207094165463,2.2147504041257084,2.267821346263119,2.23320986226046,0.008296354982561798,1.0239624934884528,9.141165380199823e-09
Li3Tl,0.5517614655780168,10.582132382639168,21.31967711517008,5,2.20991019718817,2.4273403264525335,2.7510576404937694,2.5276926938053164,0.04485487276720458,1.1333629695487886,4.1161085650998075e-09
AlPd2Sc,0.6322338523403994,8.547493717712278,13.055504789707594,5,2.738732502144192,3.1445944720664394,3.2970434492365754,3.1887244391420047,0.01695715066445494,1.0484796938124603,9.820328772391917e-09
Mn2Se2,0.7667858581443372,18.743256190921738,20.913245751325537,6,9.703839158995917,11.454605061949525,11.56832192709401,11.468819670092588,0.003418452757146107,1.0099276111685627,8.200160994675798e-09
MnNiSb,0.9668976538236388,8.246544902055078,13.960819636583004,5,6.79069736385282,7.1604057408399235,7.329510020896807,7.200194983206249,0.008711217685232782,1.0236165779115538,8.920683969293464e-09
AuInPdY,2.3888949155129646,2.185008840633156,4.961465128115078,5,5.42891560996916,5.342763384713301,8.57545996008312,6.654928046302526,0.1708643199538301,1.6050607789630362,5.307280837030248e-09
